Phone timestamp;sensor timestamp [ns];channel 0;channel 1;channel 2;ambient
2025-01-20T22:31:15.391;790698651294563840;-243079;-247139;-305202;-472768;
2025-01-20T22:31:15.409;790698651312752896;-242885;-247005;-305112;-472732;
2025-01-20T22:31:15.427;790698651330942070;-242702;-246866;-304896;-472719;
2025-01-20T22:31:15.445;790698651349131136;-242676;-246826;-304816;-472749;
2025-01-20T22:31:15.463;790698651367320192;-242457;-246601;-304641;-472756;
2025-01-20T22:31:15.481;790698651385509120;-242302;-246450;-304415;-472745;
2025-01-20T22:31:15.500;790698651403698176;-242095;-246272;-304299;-472791;
2025-01-20T22:31:15.518;790698651421887232;-241876;-246126;-304156;-472700;
2025-01-20T22:31:15.536;790698651440076288;-241892;-246074;-304256;-472747;
2025-01-20T22:31:15.554;790698651458265216;-242039;-246218;-304481;-472692;
2025-01-20T22:31:15.572;790698651476454272;-242332;-246638;-304916;-472804;
2025-01-20T22:31:15.591;790698651494643328;-242650;-246992;-305275;-472768;
2025-01-20T22:31:15.609;790698651512832256;-242939;-247354;-305575;-472699;
2025-01-20T22:31:15.627;790698651531021312;-243204;-247637;-305793;-472743;
2025-01-20T22:31:15.645;790698651549210368;-243339;-247759;-305862;-472765;
2025-01-20T22:31:15.663;790698651567399424;-243409;-247863;-305910;-472787;
2025-01-20T22:31:15.682;790698651585588352;-243408;-247872;-305924;-472773;
2025-01-20T22:31:15.700;790698651603777408;-243349;-247735;-305778;-472762;
2025-01-20T22:31:15.718;790698651621966464;-243310;-247706;-305678;-472767;
2025-01-20T22:31:15.736;790698651640155392;-243138;-247492;-305527;-472754;
2025-01-20T22:31:15.754;790698651658344448;-243048;-247435;-305438;-472784;
2025-01-20T22:31:15.772;790698651676533504;-242783;-247190;-305210;-472721;
2025-01-20T22:31:15.791;790698651694722432;-242708;-247026;-305144;-472793;
2025-01-20T22:31:15.809;790698651712911488;-242540;-246883;-305050;-472697;
2025-01-20T22:31:15.827;790698651731100544;-242381;-246740;-304878;-472712;
2025-01-20T22:31:15.845;790698651749289600;-242288;-246685;-304763;-472699;
2025-01-20T22:31:15.863;790698651767478528;-242240;-246575;-304646;-472733;
2025-01-20T22:31:15.882;790698651785667584;-242181;-246462;-304573;-472758;
2025-01-20T22:31:15.900;790698651803856640;-241987;-246382;-304427;-472744;
2025-01-20T22:31:15.918;790698651822045568;-241830;-246237;-304266;-472721;
2025-01-20T22:31:15.936;790698651840234624;-241656;-246052;-304172;-472700;
2025-01-20T22:31:15.954;790698651858423680;-241443;-245861;-303977;-472688;
2025-01-20T22:31:15.973;790698651876612736;-241300;-245703;-303866;-472746;
2025-01-20T22:31:15.991;790698651894801664;-241141;-245491;-303670;-472713;
2025-01-20T22:31:16.009;790698651912990720;-241041;-245401;-303569;-472706;
2025-01-20T22:31:16.027;790698651931179776;-241004;-245367;-303593;-472719;
2025-01-20T22:31:16.045;790698651949368704;-241187;-245580;-303867;-472711;
2025-01-20T22:31:16.064;790698651967557760;-241551;-245926;-304227;-472694;
2025-01-20T22:31:16.082;790698651985746816;-241818;-246231;-304519;-472695;
2025-01-20T22:31:16.100;790698652003935744;-242078;-246602;-304778;-472727;
2025-01-20T22:31:16.118;790698652022124800;-242293;-246801;-305006;-472796;
2025-01-20T22:31:16.136;790698652040313856;-242423;-246852;-305074;-472739;
2025-01-20T22:31:16.154;790698652058502912;-242472;-246939;-305095;-472704;
2025-01-20T22:31:16.173;790698652076691840;-242552;-246948;-305042;-472703;
2025-01-20T22:31:16.191;790698652094880854;-242533;-246922;-305009;-472710;
2025-01-20T22:31:16.209;790698652113068928;-242420;-246833;-304914;-472710;
2025-01-20T22:31:16.227;790698652131256960;-242284;-246664;-304779;-472712;
2025-01-20T22:31:16.245;790698652149444992;-242169;-246509;-304593;-472658;
2025-01-20T22:31:16.264;790698652167632896;-242011;-246289;-304406;-472671;
2025-01-20T22:31:16.282;790698652185820928;-241908;-246183;-304312;-472743;
2025-01-20T22:31:16.300;790698652204008960;-241907;-246104;-304188;-472761;
2025-01-20T22:31:16.318;790698652222196992;-241787;-245997;-304120;-472758;
2025-01-20T22:31:16.336;790698652240384896;-241681;-245894;-304050;-472715;
2025-01-20T22:31:16.355;790698652258572928;-241608;-245777;-303886;-472728;
2025-01-20T22:31:16.373;790698652276760960;-241465;-245660;-303690;-472722;
2025-01-20T22:31:16.391;790698652294948992;-241431;-245583;-303617;-472745;
2025-01-20T22:31:16.409;790698652313136896;-241329;-245380;-303511;-472761;
2025-01-20T22:31:16.427;790698652331324928;-241164;-245250;-303297;-472760;
2025-01-20T22:31:16.445;790698652349512960;-241015;-245081;-303150;-472715;
2025-01-20T22:31:16.464;790698652367700992;-240883;-244822;-303028;-472693;
2025-01-20T22:31:16.482;790698652385888896;-240686;-244658;-302879;-472706;
2025-01-20T22:31:16.500;790698652404076928;-240562;-244527;-302843;-472738;
2025-01-20T22:31:16.518;790698652422264960;-240610;-244571;-302927;-472753;
2025-01-20T22:31:16.536;790698652440452992;-240734;-244675;-303058;-472723;
2025-01-20T22:31:16.555;790698652458640896;-241066;-245018;-303367;-472685;
2025-01-20T22:31:16.573;790698652476828928;-241315;-245301;-303643;-472674;
2025-01-20T22:31:16.591;790698652495016960;-241713;-245625;-303973;-472747;
2025-01-20T22:31:16.609;790698652513204992;-241957;-245856;-304133;-472796;
2025-01-20T22:31:16.627;790698652531392896;-242074;-245900;-304133;-472749;
2025-01-20T22:31:16.646;790698652549580928;-242079;-245857;-304109;-472706;
2025-01-20T22:31:16.664;790698652567768960;-242128;-245866;-304077;-472758;
2025-01-20T22:31:16.682;790698652585956992;-242123;-245901;-304065;-472779;
2025-01-20T22:31:16.700;790698652604145024;-242019;-245723;-303917;-472774;
2025-01-20T22:31:16.718;790698652622332928;-241896;-245524;-303819;-472745;
2025-01-20T22:31:16.736;790698652640520960;-241689;-245315;-303622;-472726;
2025-01-20T22:31:16.755;790698652658708992;-241599;-245201;-303393;-472705;
2025-01-20T22:31:16.773;790698652676897024;-241438;-245060;-303268;-472708;
2025-01-20T22:31:16.791;790698652695084928;-241373;-244921;-303159;-472702;
2025-01-20T22:31:16.809;790698652713272960;-241290;-244839;-303033;-472680;
2025-01-20T22:31:16.827;790698652731460992;-241206;-244723;-302877;-472695;
2025-01-20T22:31:16.846;790698652749649024;-241147;-244585;-302801;-472683;
2025-01-20T22:31:16.864;790698652767836928;-241028;-244458;-302662;-472744;
2025-01-20T22:31:16.882;790698652786024960;-240893;-244275;-302575;-472716;
2025-01-20T22:31:16.900;790698652804212992;-240818;-244227;-302539;-472722;
2025-01-20T22:31:16.918;790698652822401024;-240708;-244054;-302387;-472739;
2025-01-20T22:31:16.937;790698652840588928;-240513;-243788;-302168;-472671;
2025-01-20T22:31:16.955;790698652858776912;-240367;-243648;-302044;-472698;
2025-01-20T22:31:16.973;790698652876964992;-240248;-243497;-301870;-472704;
2025-01-20T22:31:16.991;790698652895153024;-240197;-243409;-301836;-472729;
2025-01-20T22:31:17.009;790698652913341056;-240252;-243495;-301961;-472788;
2025-01-20T22:31:17.027;790698652931528960;-240444;-243686;-302204;-472686;
2025-01-20T22:31:17.046;790698652949716992;-240804;-243945;-302447;-472679;
2025-01-20T22:31:17.064;790698652967905024;-241150;-244294;-302714;-472685;
2025-01-20T22:31:17.082;790698652986093056;-241530;-244612;-303025;-472679;
2025-01-20T22:31:17.100;790698653004280960;-241773;-244795;-303178;-472670;
2025-01-20T22:31:17.118;790698653022468992;-241994;-244840;-303282;-472686;
2025-01-20T22:31:17.137;790698653040657024;-242029;-244878;-303333;-472705;
2025-01-20T22:31:17.155;790698653058845056;-242064;-244833;-303268;-472698;
2025-01-20T22:31:17.173;790698653077032960;-242046;-244792;-303201;-472714;
2025-01-20T22:31:17.191;790698653095220992;-242006;-244719;-303080;-472726;
2025-01-20T22:31:17.209;790698653113409024;-241888;-244547;-302947;-472727;
2025-01-20T22:31:17.228;790698653131597056;-241795;-244442;-302797;-472770;
2025-01-20T22:31:17.246;790698653149784960;-241671;-244271;-302608;-472778;
2025-01-20T22:31:17.264;790698653167972992;-241603;-244146;-302535;-472782;
2025-01-20T22:31:17.282;790698653186161024;-241418;-244066;-302379;-472716;
2025-01-20T22:31:17.300;790698653204349056;-241375;-243976;-302334;-472679;
2025-01-20T22:31:17.318;790698653222536960;-241216;-243878;-302220;-472720;
2025-01-20T22:31:17.337;790698653240724992;-241128;-243726;-302131;-472707;
2025-01-20T22:31:17.355;790698653258913024;-241064;-243577;-302039;-472732;
2025-01-20T22:31:17.373;790698653277101056;-240946;-243408;-301938;-472730;
2025-01-20T22:31:17.391;790698653295288960;-240844;-243334;-301799;-472717;
2025-01-20T22:31:17.409;790698653313476992;-240747;-243220;-301723;-472748;
2025-01-20T22:31:17.428;790698653331665024;-240647;-243036;-301605;-472729;
2025-01-20T22:31:17.446;790698653349853056;-240477;-242867;-301387;-472705;
2025-01-20T22:31:17.464;790698653368041088;-240416;-242755;-301328;-472755;
2025-01-20T22:31:17.482;790698653386228992;-240372;-242731;-301307;-472702;
2025-01-20T22:31:17.500;790698653404417024;-240615;-242857;-301528;-472728;
2025-01-20T22:31:17.519;790698653422605056;-240904;-243165;-301808;-472744;
2025-01-20T22:31:17.537;790698653440793088;-241276;-243438;-302135;-472723;
2025-01-20T22:31:17.555;790698653458980992;-241576;-243717;-302442;-472717;
2025-01-20T22:31:17.573;790698653477169024;-241936;-244028;-302635;-472728;
2025-01-20T22:31:17.591;790698653495357056;-242089;-244097;-302806;-472734;
2025-01-20T22:31:17.609;790698653513545088;-242250;-244133;-302856;-472748;
2025-01-20T22:31:17.628;790698653531732992;-242334;-244136;-302828;-472738;
2025-01-20T22:31:17.646;790698653549921024;-242378;-244095;-302824;-472737;
2025-01-20T22:31:17.664;790698653568109056;-242352;-244036;-302838;-472743;
2025-01-20T22:31:17.682;790698653586297088;-242258;-243901;-302734;-472788;
2025-01-20T22:31:17.700;790698653604484992;-242239;-243838;-302641;-472772;
2025-01-20T22:31:17.719;790698653622672970;-242165;-243691;-302547;-472736;
2025-01-20T22:31:17.737;790698653640861696;-242066;-243527;-302450;-472747;
2025-01-20T22:31:17.755;790698653659050368;-241947;-243418;-302352;-472772;
2025-01-20T22:31:17.773;790698653677239168;-241780;-243280;-302209;-472719;
2025-01-20T22:31:17.791;790698653695427840;-241719;-243192;-302134;-472717;
2025-01-20T22:31:17.810;790698653713616640;-241705;-243172;-302067;-472773;
2025-01-20T22:31:17.828;790698653731805312;-241552;-242942;-301971;-472747;
2025-01-20T22:31:17.846;790698653749994112;-241465;-242809;-301849;-472723;
2025-01-20T22:31:17.864;790698653768182784;-241396;-242688;-301800;-472721;
2025-01-20T22:31:17.882;790698653786371584;-241328;-242584;-301692;-472731;
2025-01-20T22:31:17.901;790698653804560256;-241170;-242465;-301609;-472720;
2025-01-20T22:31:17.919;790698653822748928;-241067;-242324;-301490;-472759;
2025-01-20T22:31:17.937;790698653840937728;-240858;-242099;-301335;-472747;
2025-01-20T22:31:17.955;790698653859126400;-240798;-242054;-301273;-472733;
2025-01-20T22:31:17.973;790698653877315200;-240923;-242185;-301456;-472708;
2025-01-20T22:31:17.991;790698653895503872;-241169;-242415;-301750;-472737;
2025-01-20T22:31:18.010;790698653913692672;-241599;-242729;-302118;-472789;
2025-01-20T22:31:18.028;790698653931881344;-241951;-242996;-302440;-472785;
2025-01-20T22:31:18.046;790698653950070016;-242317;-243271;-302740;-472733;
2025-01-20T22:31:18.064;790698653968258816;-242535;-243462;-302928;-472754;
2025-01-20T22:31:18.082;790698653986447488;-242707;-243584;-303006;-472717;
2025-01-20T22:31:18.101;790698654004636288;-242816;-243680;-303157;-472742;
2025-01-20T22:31:18.119;790698654022824960;-242830;-243672;-303155;-472740;
2025-01-20T22:31:18.137;790698654041013760;-242844;-243635;-303062;-472737;
2025-01-20T22:31:18.155;790698654059202432;-242799;-243534;-302916;-472776;
2025-01-20T22:31:18.173;790698654077391104;-242697;-243425;-302849;-472758;
2025-01-20T22:31:18.192;790698654095579904;-242601;-243254;-302653;-472705;
2025-01-20T22:31:18.210;790698654113768576;-242418;-243130;-302524;-472731;
2025-01-20T22:31:18.228;790698654131957376;-242324;-243022;-302439;-472723;
2025-01-20T22:31:18.246;790698654150146048;-242229;-242909;-302393;-472733;
2025-01-20T22:31:18.264;790698654168334848;-242155;-242744;-302225;-472800;
2025-01-20T22:31:18.282;790698654186523520;-241995;-242659;-302179;-472741;
2025-01-20T22:31:18.301;790698654204712320;-241910;-242481;-302062;-472725;
2025-01-20T22:31:18.319;790698654222900992;-241809;-242371;-302048;-472799;
2025-01-20T22:31:18.337;790698654241089664;-241677;-242208;-301897;-472742;
2025-01-20T22:31:18.355;790698654259278464;-241505;-241988;-301751;-472720;
2025-01-20T22:31:18.373;790698654277467136;-241307;-241856;-301533;-472745;
2025-01-20T22:31:18.392;790698654295655936;-241132;-241699;-301368;-472711;
2025-01-20T22:31:18.410;790698654313844608;-241023;-241604;-301285;-472756;
2025-01-20T22:31:18.428;790698654332033408;-240909;-241516;-301144;-472747;
2025-01-20T22:31:18.446;790698654350222080;-240789;-241373;-301093;-472696;
2025-01-20T22:31:18.464;790698654368410880;-240988;-241554;-301345;-472744;
2025-01-20T22:31:18.483;790698654386599546;-241255;-241856;-301658;-472692;
2025-01-20T22:31:18.501;790698654404787328;-241685;-242242;-302044;-472699;
2025-01-20T22:31:18.519;790698654422975104;-242055;-242569;-302376;-472787;
2025-01-20T22:31:18.537;790698654441162880;-242312;-242796;-302599;-472721;
2025-01-20T22:31:18.555;790698654459350656;-242529;-242969;-302772;-472731;
2025-01-20T22:31:18.573;790698654477538432;-242616;-243045;-302875;-472793;
2025-01-20T22:31:18.592;790698654495726208;-242671;-243013;-302847;-472725;
2025-01-20T22:31:18.610;790698654513913984;-242665;-242990;-302787;-472755;
2025-01-20T22:31:18.628;790698654532101760;-242548;-242950;-302686;-472791;
2025-01-20T22:31:18.646;790698654550289536;-242428;-242805;-302512;-472733;
2025-01-20T22:31:18.664;790698654568477312;-242295;-242706;-302388;-472705;
